runs	nb_step	PROINPA_MST.Satisfaction	PROINPA_MST.Influence	PROINPA_MST.Aim	SEEDS_PROD.Satisfaction	SEEDS_PROD.Influence	SEEDS_PROD.Aim	SEEDS_IMP.Satisfaction	SEEDS_IMP.Influence	SEEDS_IMP.Aim	POTAT_PROD.Satisfaction	POTAT_PROD.Influence	POTAT_PROD.Aim	STATE.Satisfaction	STATE.Influence	STATE.Aim	MAFIA_MARKET.Satisfaction	MAFIA_MARKET.Influence	MAFIA_MARKET.Aim	PREBASIC_S.State	CERTIFIED_S.State	IMPORTED_S.State	POTATOES.State	RECYCLED_S.State	SUPPORT_N.State	MANIPUL_M.State
23	25268.0	6.69	44.81	6.69	22.56	47.52	22.56	56.65	39.9	56.65	50.57	92.93	50.57	72.12	3.63	72.12	49.34	29.3	49.34	10.0	2.0	10.0	2.9	2.6	-3.9	10.0
24	16188.0	12.42	44.81	12.42	27.11	47.96	27.11	56.68	39.9	56.68	50.7	101.67	50.7	77.7	5.21	77.7	43.36	29.3	43.36	10.0	2.4	10.0	5.0	1.0	-3.6	10.0
25	16056.0	16.86	44.81	16.86	31.46	46.16	31.46	55.34	39.9	55.34	54.06	101.02	54.06	75.46	19.53	75.46	45.42	29.3	45.42	10.0	1.3	10.0	4.2	1.0	-1.2	10.0
26	19072.0	12.48	44.81	12.48	26.26	48.18	26.26	53.24	39.9	53.24	55.4	91.77	55.4	71.5	17.62	71.5	45.78	26.32	45.78	10.0	2.8	10.0	3.0	3.2	-1.5	9.1
27	14269.0	21.87	44.81	21.87	34.95	47.37	34.95	51.51	39.9	51.51	60.9	93.55	60.9	69.49	29.45	69.49	47.05	28.65	47.05	10.0	1.9	10.0	3.2	2.9	0.4	9.8
28	13898.0	10.01	43.68	10.01	24.32	48.19	24.32	56.97	39.9	56.97	52.67	96.79	52.67	76.71	5.74	76.71	43.32	29.3	43.32	9.7	3.0	10.0	3.8	2.5	-3.5	10.0
29	12985.0	11.2	44.81	11.2	27.8	43.72	27.8	58.97	39.9	58.97	51.1	100.03	51.1	75.28	13.25	75.28	44.48	27.99	44.48	10.0	0.5	10.0	5.1	1.8	-2.2	9.6
30	15869.0	6.17	44.81	6.17	23.55	47.52	23.55	59.08	39.9	59.08	50.57	94.49	50.57	75.55	1.6	75.55	44.04	29.3	44.04	10.0	2.0	10.0	4.0	3.5	-4.3	10.0
31	14311.0	10.81	43.17	10.81	24.06	47.52	24.06	52.15	39.9	52.15	46.95	96.29	46.95	66.59	0.13	66.59	54.28	29.3	54.28	9.5	2.0	10.0	2.6	-1.1	-4.6	10.0
32	11328.0	16.09	44.81	16.09	28.37	47.37	28.37	51.98	39.9	51.98	49.98	99.3	49.98	70.34	8.52	70.34	51.98	29.3	51.98	10.0	1.9	10.0	3.4	-1.5	-3.0	10.0
33	24400.0	0.49	41.34	0.49	18.22	48.14	18.22	57.06	39.9	57.06	49.53	94.68	49.53	70.38	-4.94	70.38	50.57	29.3	50.57	8.8	2.7	10.0	3.1	2.3	-5.7	10.0
34	12482.0	4.01	44.81	4.01	21.35	37.86	21.35	61.38	39.59	61.38	49.07	92.18	49.07	72.35	6.84	72.35	44.87	29.3	44.87	10.0	-0.8	9.9	4.1	4.3	-3.3	10.0
35	17765.0	13.3	44.81	13.3	25.06	27.57	25.06	57.39	39.9	57.39	48.29	103.04	48.29	68.58	18.89	68.58	49.66	29.3	49.66	10.0	-2.4	10.0	4.7	0.0	-1.3	10.0
36	19483.0	6.19	44.81	6.19	19.82	47.91	19.82	55.57	39.9	55.57	49.55	96.45	49.55	70.79	-9.74	70.79	45.47	27.32	45.47	10.0	3.6	10.0	3.4	2.1	-6.8	9.4
37	22785.0	10.77	44.81	10.77	25.13	47.96	25.13	54.85	39.9	54.85	47.92	101.86	47.92	73.15	-0.35	73.15	49.27	29.3	49.27	10.0	2.4	10.0	3.8	-0.5	-4.7	10.0
38	14275.0	18.49	44.81	18.49	32.58	40.85	32.58	55.94	39.9	55.94	53.43	102.54	53.43	72.78	23.99	72.78	43.62	25.99	43.62	10.0	-0.2	10.0	5.2	0.4	-0.5	9.0
39	19928.0	11.81	44.81	11.81	27.96	44.41	27.96	56.57	39.9	56.57	54.9	93.24	54.9	71.71	16.98	71.71	47.45	29.3	47.45	10.0	0.7	10.0	3.4	3.3	-1.6	10.0
40	21370.0	10.36	43.68	10.36	26.03	48.04	26.03	54.06	39.18	54.06	55.42	84.91	55.42	68.97	19.53	68.97	50.87	29.3	50.87	9.7	2.5	9.7	2.2	3.9	-1.2	10.0
41	16371.0	14.88	44.81	14.88	28.45	46.83	28.45	53.03	39.9	53.03	51.7	99.26	51.7	70.68	11.43	70.68	52.86	28.32	52.86	10.0	1.6	10.0	3.2	0.1	-2.5	9.7
42	18062.0	9.72	41.61	9.72	27.58	46.4	27.58	57.45	39.9	57.45	56.3	89.49	56.3	74.17	20.17	74.17	43.14	29.3	43.14	8.9	1.4	10.0	4.7	5.3	-1.1	10.0
43	24177.0	11.51	44.81	11.51	26.16	36.76	26.16	57.63	39.9	57.63	48.87	102.05	48.87	71.28	14.48	71.28	48.81	28.65	48.81	10.0	-1.0	10.0	4.6	0.7	-2.0	9.8
44	13060.0	13.31	44.81	13.31	28.92	40.85	28.92	57.27	39.9	57.27	55.42	94.19	55.42	70.66	24.62	70.66	45.47	29.3	45.47	10.0	-0.2	10.0	4.0	3.6	-0.4	10.0
45	14496.0	15.38	43.43	15.38	32.08	45.35	32.08	56.29	39.15	56.29	51.85	97.53	51.85	76.45	16.98	76.45	40.92	29.3	40.92	9.6	1.0	9.1	5.9	2.4	-1.6	10.0
46	13503.0	15.2	44.81	15.2	25.51	48.16	25.51	49.86	39.9	49.86	49.11	97.79	49.11	67.44	4.15	67.44	50.81	27.32	50.81	10.0	3.2	10.0	2.9	-1.2	-3.8	9.4
47	11016.0	18.61	44.81	18.61	33.48	47.02	33.48	55.56	39.18	55.56	56.79	98.31	56.79	76.17	25.24	76.17	41.12	29.3	41.12	10.0	1.7	9.6	4.7	2.5	-0.3	10.0
48	15287.0	9.79	44.81	9.79	24.82	48.18	24.82	56.93	39.9	56.93	52.43	97.04	52.43	76.2	7.39	76.2	44.2	29.3	44.2	10.0	2.8	10.0	4.0	2.6	-3.2	10.0
49	15393.0	9.69	44.81	9.69	25.97	47.52	25.97	57.92	39.29	57.92	51.51	98.97	51.51	75.67	4.68	75.67	45.76	29.3	45.76	10.0	2.0	9.8	3.9	1.7	-3.7	10.0
50	12101.0	10.83	44.81	10.83	26.5	45.05	26.5	56.84	39.9	56.84	49.65	99.47	49.65	73.08	6.84	73.08	47.7	27.32	47.7	10.0	0.9	10.0	3.6	1.0	-3.3	9.4
51	46212.0	14.31	44.81	14.31	28.12	39.9	28.12	56.5	39.9	56.5	49.87	102.29	49.87	71.13	15.72	71.13	49.59	28.32	49.59	10.0	-0.4	10.0	4.0	-0.3	-1.8	9.7
52	14219.0	16.85	36.81	16.85	33.25	44.07	33.25	51.37	39.9	51.37	58.45	101.78	58.45	67.54	31.67	67.54	48.66	22.23	48.66	7.2	0.6	10.0	4.1	0.4	0.8	7.9
53	17403.0	12.99	40.25	12.99	27.05	47.96	27.05	51.08	39.9	51.08	54.33	94.37	54.33	69.44	17.62	69.44	55.25	29.3	55.25	8.4	2.4	10.0	2.3	0.0	-1.5	10.0
54	16429.0	24.86	44.81	24.86	37.8	45.35	37.8	52.2	39.9	52.2	59.99	99.43	59.99	71.1	30.58	71.1	46.06	29.3	46.06	10.0	1.0	10.0	4.1	1.7	0.6	10.0
55	16104.0	10.45	44.81	10.45	24.7	48.14	24.7	55.16	39.9	55.16	51.75	99.11	51.75	73.29	6.29	73.29	48.12	29.3	48.12	10.0	2.7	10.0	3.6	1.2	-3.4	10.0
